status	scope	path	decision	evidence
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/codex/events/codex-reasoning-block-tracker.test.ts	Needs Update / Currentized / Revalidated	API-REV-036 focused currentization logs; current-server-selection-final3.log or current-web-selection.log; production build; fresh browser/provider matrix where applicable
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/codex/events/codex-thread-event-converter.test.ts	Needs Update / Currentized / Revalidated	API-REV-036 focused currentization logs; current-server-selection-final3.log or current-web-selection.log; production build; fresh browser/provider matrix where applicable
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/codex/thread/codex-thread-manager.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/codex/thread/codex-thread.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-execution/compaction/compaction-run-output-collector.test.ts	Needs Update / Currentized / Revalidated	API-REV-036 focused currentization logs; current-server-selection-final3.log or current-web-selection.log; production build; fresh browser/provider matrix where applicable
M	server	autobyteus-server-ts/tests/unit/agent-execution/events/token-usage-event-enrichment-transformer.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-memory/runtime-memory-event-accumulator.test.ts	Needs Update / Currentized / Revalidated	API-REV-036 focused currentization logs; current-server-selection-final3.log or current-web-selection.log; production build; fresh browser/provider matrix where applicable
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/inter-agent-message-delivery.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/member-team-context-builder.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/mixed-agent-member-handle-memory-invariant.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/mixed-team-manager.test.ts	Needs Update / Currentized / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/mixed-team-member-registry-task-agent-memory.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/sub-team-active-run-directory.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/task-delegation-address-builder.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/task-delegation-service.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/team-definition-topology-planner.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/team-manager-member-interrupt.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/team-member-delivery-coordinator.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/team-run-config-localization.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/team-run-metadata-mapper.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/team-run-service.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-tools/team-communication/get-handoff-rules.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/app-data-migrations/token-usage-canonical-execution-address-migration.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
D	server	autobyteus-server-ts/tests/unit/app-data-migrations/token-usage-legacy-path-columns-drop-migration.test.ts	Stale / Remove	API-REV-034 integrated-static-audit.log; CRR-073 deletion authority
M	server	autobyteus-server-ts/tests/unit/external-channel/runtime/channel-run-output-event-collector.test.ts	Needs Update / Currentized / Revalidated	API-REV-036 focused currentization logs; current-server-selection-final3.log or current-web-selection.log; production build; fresh browser/provider matrix where applicable
M	server	autobyteus-server-ts/tests/unit/services/agent-streaming/agent-run-event-message-mapper.test.ts	Needs Update / Currentized / Revalidated	API-REV-036 focused currentization logs; current-server-selection-final3.log or current-web-selection.log; production build; fresh browser/provider matrix where applicable
M	server	autobyteus-server-ts/tests/unit/services/agent-streaming/agent-stream-websocket-egress.test.ts	Stale Case Removed / Supported Boundary Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/services/agent-streaming/agent-team-stream-handler.test.ts	Still Valid / Replacement Boundary Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/services/agent-streaming/team-run-event-websocket-message-mapper.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/services/agent-streaming/team-runtime-snapshot-service.test.ts	Needs Update / Currentized / Revalidated	API-REV-036 focused currentization logs; current-server-selection-final3.log or current-web-selection.log; production build; fresh browser/provider matrix where applicable
M	web	autobyteus-web/components/applications/setup/__tests__/ApplicationTeamLaunchProfileEditor.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/mobile/__tests__/MobileArtifacts.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/mobile/__tests__/MobileContextSelectionRegression.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/mobile/__tests__/MobileTeamMessages.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/mobile/__tests__/MobileUxRefinement.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/workspace/config/__tests__/RunConfigPanel.spec.ts	Needs Update / Currentized and Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/workspace/config/__tests__/TeamRunConfigForm.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/workspace/history/__tests__/HistoricalTeamLazyHydration.integration.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/workspace/history/__tests__/WorkspaceAgentRunsTreePanel.regressions.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/workspace/history/__tests__/WorkspaceAgentRunsTreePanel.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/workspace/history/__tests__/WorkspaceHistoryWorkspaceSection.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/workspace/running/__tests__/RunningTeamRow.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/workspace/team/__tests__/AgentTeamEventMonitor.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/workspace/team/__tests__/TeamCommunicationPanel.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
D	web	autobyteus-web/components/workspace/team/__tests__/TeamDelegatedTasksSection.current-contract.spec.ts	Stale / Remove	API-REV-034 integrated-static-audit.log; CRR-073 deletion authority
M	web	autobyteus-web/components/workspace/team/__tests__/TeamDelegatedTasksSection.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/workspace/team/__tests__/TeamFocusSendWorkflow.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
D	web	autobyteus-web/components/workspace/team/__tests__/TeamOverviewPanel.current-task-visibility.spec.ts	Stale / Remove	API-REV-034 integrated-static-audit.log; CRR-073 deletion authority
M	web	autobyteus-web/components/workspace/team/__tests__/TeamOverviewPanel.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/components/workspace/team/__tests__/TeamWorkspaceView.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/composables/__tests__/useWorkspaceHistorySelectionActions.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/composables/__tests__/useWorkspaceHistoryTreeState.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/composables/mobile/__tests__/useMobileFocusedRunIdentity.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/composables/mobile/__tests__/useMobileWorkCatalog.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/graphql/queries/__tests__/runHistoryQueries.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/services/agentStreaming/__tests__/TeamStreamingService.execution-address.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/services/agentStreaming/__tests__/TeamStreamingService.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/services/agentStreaming/__tests__/currentTaskExecutionFixture.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/services/agentStreaming/__tests__/teamStreamMemberContextResolver.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
D	web	autobyteus-web/services/agentStreaming/__tests__/teamTaskExecutionEventRouter.spec.ts	Stale / Remove	API-REV-034 integrated-static-audit.log; CRR-073 deletion authority
M	web	autobyteus-web/services/agentStreaming/__tests__/teamTaskTeamExecutionProjection.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/services/agentStreaming/handlers/__tests__/segmentHandler.spec.ts	Needs Update / Currentized / Revalidated	API-REV-036 focused currentization logs; current-server-selection-final3.log or current-web-selection.log; production build; fresh browser/provider matrix where applicable
M	web	autobyteus-web/services/agentStreaming/handlers/__tests__/toolLifecycleParsers.spec.ts	Needs Update / Currentized / Revalidated	API-REV-036 focused currentization logs; current-server-selection-final3.log or current-web-selection.log; production build; fresh browser/provider matrix where applicable
M	web	autobyteus-web/services/runHydration/__tests__/taskDelegationGraphqlDtoProjection.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
A	web	autobyteus-web/services/runHydration/__tests__/teamCommunicationHydrationService.spec.ts	Add Durable Coverage / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/services/runHydration/__tests__/teamRunContextHydrationService.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
D	web	autobyteus-web/services/runOpen/__tests__/teamRunOpenCoordinator.primeOwnership.spec.ts	Stale / Remove	API-REV-034 integrated-static-audit.log; CRR-073 deletion authority
M	web	autobyteus-web/services/runOpen/__tests__/teamRunOpenCoordinator.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
A	web	autobyteus-web/services/teamExecution/__tests__/teamExecutionState.task-lifecycle.spec.ts	Add Durable Coverage / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/services/workspace/__tests__/workspaceNavigationService.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/stores/__tests__/agentTeamContextsStore.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/stores/__tests__/agentTeamRunStore.spec.ts	Needs Update / Currentized and Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/stores/__tests__/mobileWorkStore.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/stores/__tests__/runHistoryMetadata.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/stores/__tests__/runHistoryNavigationProjection.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/stores/__tests__/runHistoryStore.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/stores/__tests__/runHistoryTeamExecutionRows.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/stores/__tests__/runHistoryTeamMemberProjectionHydrator.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/stores/__tests__/runHistoryTeamRows.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/stores/__tests__/teamCommunicationStore.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/stores/__tests__/teamRunConfigStore.spec.ts	Needs Update / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
A	web	autobyteus-web/test-support/currentTeamTestFixtures.ts	Add Durable Coverage / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/utils/__tests__/teamActiveExecutionMembers.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
M	web	autobyteus-web/utils/__tests__/teamDelegatedTaskEntries.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
D	web	autobyteus-web/utils/__tests__/teamDelegatedTaskLiveVisibility.spec.ts	Stale / Remove	API-REV-034 integrated-static-audit.log; CRR-073 deletion authority
M	web	autobyteus-web/utils/__tests__/teamRunConfigUtils.spec.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-web.log; web-production-build.log; API-REV-036 broad current selection and production build
