absolute_path	component	baseline_lineage	api_rev_016_delta	api_rev_016_disposition	artifact_kind	current_state	validity_decision	execution_evidence
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/app-data-migrations/migrate-native-working-context-snapshots-v5-migration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/app-data-migrations/raw-trace-active-file-name-migration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/app-data-migrations/remove-external-runtime-working-context-snapshots-migration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/app-data-migrations/team-communication-projection-address-migration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/app-data-migrations/team-run-history-index-v2-migration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/app-data-migrations/token-usage-canonical-execution-address-migration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/app-data-migrations/token-usage-execution-address-backfill-migration.test.ts	server	Removed in prior API/E2E maintenance	no	Unchanged	durable test	absent as approved	Stale / Removed — canonical replacement remains authoritative	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/removed-authority-audit-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/app-data-migrations/token-usage-legacy-path-columns-drop-migration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/application-bundles/file-application-bundle-provider.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/application-engine/application-backend-definition-loader.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/application-engine/application-engine-host-service.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/run-history/projection/codex-run-view-projection-provider.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/server-runtime-app-data-migration-gate.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/services/agent-streaming/agent-team-stream-handler.test.ts	server	Added to current maintained inventory by API-REV-016	yes	Updated	durable test	present	Replace / Rewrite resolved — exact full TeamExecutionAddress send/approval/interrupt plus cadence/coalescing	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-web/services/agentStreaming/__tests__/TeamStreamingService.execution-address.spec.ts	web	Added to current maintained inventory by API-REV-016	yes	Added	durable test	present	Add Durable Coverage — exact frontend serialization and acknowledgement for persistent/task/nested addresses	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/web-current-focused-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-web/services/agentStreaming/handlers/__tests__/segmentHandler.spec.ts	web	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current frontend streaming projection	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/web-current-focused-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-web/services/agentStreaming/handlers/__tests__/toolLifecycleHandler.spec.ts	web	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current frontend streaming projection	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/web-current-focused-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/test-support/live-e2e/live-e2e-harness.ts	live-e2e support	Integrated retained support from API-REV-015	no	Unchanged	durable test harness	present	Still Valid / Revalidated — disposable DB propagation and fail-closed live harness	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/cadence-harness-final.log; /Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/live-support-current-audit.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/test-support/live-e2e/run-live-e2e.mjs	live-e2e support	Integrated retained support from API-REV-015	no	Unchanged	durable test harness	present	Still Valid / Revalidated — disposable DB propagation and fail-closed live harness	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/cadence-harness-final.log; /Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/live-support-current-audit.log
