kind	id	result	verification	evidence_tokens
AC	AC-014	PASS	A caller in task `/research` delegates to `/qa/tester`; persistent `/qa` hosts the task while the task record keeps the exact delegator AgentRun edge.	CORE,WEB,LIVE5
AC	AC-015	PASS	A caller in task `/research` delegates to `/qa`; persistent root hosts the fresh `/qa` task Team, not the caller's `/research` task Team.	CORE,WEB,LIVE5
AC	AC-016	PASS	A Team target below a compatible task-Team subtree is hosted at its exact parent TeamRun reached through configured-member descent and recursively receives fresh TeamRun/AgentRun bindings without chain fields.	CORE,WEB,LIVE5
AC	AC-017	PASS	Backend admission validates actual tree ancestry and exact runs without requiring delegator and assignee to share a parent.	CORE,WEB,LIVE5
AC	AC-018	PASS	Live/restored frontend state renders AC-012–AC-016 under truthful tree parents and joins task edges independently.	CORE,WEB,LIVE5
AC	AC-019	PASS	AutoByteus, Codex, and Claude receive the same exact `{rootTeamRunId,memberAddress,agentRunId}` Team identity, expose identical fields/results, and add no provider-specific target restriction.	CORE,LIVE5
AC	AC-020	PASS	Rendered Team instruction states absolute-only universal same-root collaboration; relative/direct-child copy is absent.	CORE,LIVE5
AC	AC-021	PASS	Tool schemas, roster/handoff output, and current docs expose only canonical absolute recipient addresses.	CORE,LIVE5
AC	AC-022	PASS	Absent and empty handoffs produce identical successful direct delegation for a valid address.	CORE,LIVE5
AC	AC-023	PASS	Absolute local reference validation and content retrieval work from the reduced persisted path arrays.	CORE,CLASSROOM,MOBILE
AC	AC-024	PASS	An allowlist scan finds no production adjacency policy, relative resolver, per-provider task policy, per-child task ledger, inferred parent chain, duplicate task target/reply model, or compatibility path.	STATIC
AC	AC-025	PASS	Active Agent delegation returns the fresh AgentRun only after exact-run routing can resolve it.	CORE,LIVE5,CODEX
AC	AC-026	PASS	Active Team delegation returns the fresh coordinator AgentRun, never the TeamRun ID.	CORE,LIVE5,CODEX
AC	AC-027	PASS	Injected failure in preparation, TeamRun-registration reservation, event sealing/budget validation, or a writer outcome of `not_renamed` returns `not_started` without `target_agent_run_id`, releases no work, publishes no activation/status event, and exposes no active task/execution. After a `committed` task-file result, the synchronous commit/event-enqueue/work-gate sequence—including the no-throw `releaseWork()` latch—is complete before the coordinator returns; provider/listener work still drains only behind the lower owner's existing scheduling boundary. A `renamed_finalization_indeterminate` result preserves the hidden preparation/resolver/event reservations, closes the rooted execution surface with no task result and no work release, and is never caught/remapped to ordinary `not_started`; strict reload either removes an orphan or interrupts the surviving durable task.	CORE,LIVE5,CODEX
AC	AC-028	PASS	Work packet contains exact task delegator address/run ID and no task ID or review-owner wording.	CORE,CLASSROOM,CODEX
AC	AC-029	PASS	An assignee uses the delegator run ID to contact the exact delegator; the delegator uses returned assignee run ID.	CORE,CLASSROOM,CODEX
AC	AC-030	PASS	Team-task clarification reaches the exact fresh coordinator rather than an address-equivalent persistent/other execution.	CORE,CLASSROOM,CODEX
AC	AC-031	PASS	Recipient-visible Team messages show sender canonical address/run ID for persistent, task-Agent, and task-Team Agent senders.	CORE,CLASSROOM,CODEX
AC	AC-032	PASS	Ordinary content containing “finished,” “accept,” or “revise” leaves task status unchanged.	CORE,CLASSROOM,CODEX
AC	AC-033	PASS	All 15 normative JSON examples parse through strict target validators without aliases or normalization.	PACKAGE,CORE,CLASSROOM
AC	AC-034	PASS	Persistent-only root reads to one tree with nested TeamRun/AgentRun indexes and empty task/message ledgers.	PACKAGE,CORE,CLASSROOM
AC	AC-035	PASS	Active task Agent and active nested task Team examples project the exact run hierarchy shown in the fixture and derive coordinator ingress without copied fields.	PACKAGE,CORE,CLASSROOM
AC	AC-036	PASS	Every task record resolves one and only one task execution root whose logical address equals `recipientAddress`.	PACKAGE,CORE,CLASSROOM
AC	AC-037	PASS	Every message endpoint resolves one exact Agent node by AgentRun ID. AgentRun reservation rejection produces no row; injected current-reference/message-ID conflict or `not_renamed` file outcome cancels the unreleased reservation and dispatches no provider input. An injected `renamed_finalization_indeterminate` outcome latches root fail-stop, returns no normal accepted/rejected envelope, publishes no event, dispatches no provider input, and is reconciled only by strict reload without message replay. Two overlapping sends to the same receiver and two to different receivers, forced to reserve before either write completes, retain one row per accepted call because each next snapshot is derived under the root lock from the latest committed message state. Same-receiver provider dispatch follows reservation/root-plan submission order; different-receiver history follows root commit order. Concurrent later input cannot overtake an unresolved reservation. Ordinary AgentRun/task settlement quiescence waits for a submitted reservation to commit or cancel and never removes it; only root fail-stop may exceptionally dispose a hidden indeterminate reservation. No message record needs a logical/composite address.	PACKAGE,CORE,CLASSROOM
AC	AC-038	PASS	Duplicate run IDs, invalid coordinator, invalid host containment, mixed variant keys, unknown fields, contradictory task status/history, or missing task execution fail before exposure.	PACKAGE,CORE,CLASSROOM
AC	AC-039	PASS	Initial backend snapshot and live events use the same exact tree/task/message/status projector, canonical `TeamAgentStatusSnapshot` mapping, and strict status DTO; frontend uses one reducer and no separate task or status materializer. Initial status includes configured lazy leaves, active task Agents, and active task-Team Agents, while settled task executions are absent.	CORE,WEB,RESTORE,DESKTOP,MOBILE
AC	AC-040	PASS	Focus/open/history/status/timeline operate by AgentRun/TeamRun IDs; repeated tasks to one address remain distinct; a status change racing initial snapshot capture is either represented in the snapshot or delivered as the next queued `changeSequence`, never lost or reconstructed in the browser.	CORE,WEB,RESTORE,DESKTOP,MOBILE
AC	AC-041	PASS	Accepted/interrupted task records remain in durable history but are absent from the live execution projection only after the tree-only settlement commit. Before that commit, the exact task execution remains registered and reversible-quiesced; after `committed`, it becomes non-routable synchronously and the same local capability owns recursive teardown. No new persisted `settling` status exists.	CORE,WEB,RESTORE,DESKTOP,MOBILE
AC	AC-042	PASS	Activation phase injection retains the established two-file behavior: a task-record `not_renamed` result after a committed activation-tree write returns `not_started`, never releases work, and restart removes the unreleased orphan; activation `renamed_finalization_indeterminate` produces no normal result and preserves hidden preparation for fail-stop/reload. Settlement phase injection is one-file and different: `not_renamed` synchronously cancels reversible quiescence before root-lock release and leaves the terminal task record plus live execution unchanged; `committed` swaps tree/event state and irrevocably detaches the execution before post-lock local teardown; `renamed_finalization_indeterminate` retains hidden quiescence and fail-stops with no ordinary result. Forced local teardown rejection after a committed settlement does not restore the execution or report persistence failure; it fail-stops the affected root for cleanup. Process loss after durable activation or settlement returns no false clean result and reload never replays task work.	CORE,MIGRATION,RESTORE
AC	AC-043	FAIL	The explicit restore loader converts active to interrupted exactly once and writes the matching settled timestamp, but server restart does not invoke that loader before listen; the stale active row remains publicly readable until restore.	RESTART_FAIL,RESTORE
AC	AC-044	PASS	Root package validation completes before GraphQL/WebSocket/runtime exposure. An injected new-root write failure never publishes that root; strict package scan admits a fully committed three-file package and removes/excludes an incomplete target-only creation residue.	CORE,MIGRATION,RESTORE
AC	AC-045	PASS	Representative persistent, task-Agent, task-Team, nested-task, communication, token, and external-channel predecessor data migrates to exact target models while preserving known run IDs/content/timestamps.	MIGRATION,PACKAGE
AC	AC-046	PASS	A previously completed older migration record does not suppress the new migration owner.	MIGRATION,PACKAGE
AC	AC-047	PASS	Forced failure in the all-supported-row token table conversion rolls back every target row/table change; its bounded retry succeeds from the protected predecessor backup without a mixed-schema runtime. Forced unsafe JSON correlation for one root leaves that root's Team-package source bytes unchanged, excludes it from target catalog admission, records exact identifiers, and leaves the migration retryable without blocking other valid roots or new Team use.	MIGRATION,PACKAGE
AC	AC-048	PASS	A later retry skips already-valid target roots, retries only unresolved predecessor roots and their dependent rows, and performs no duplicate mutation. Once every discoverable supported root is current or safely absent, the migration reports success.	MIGRATION,PACKAGE
AC	AC-049	PASS	Server listen waits for the current startup migration attempt to finish, not for global exact success. `FAILED`/retryable roots remain unavailable and are retried on a later startup; successful target roots and new Team creation remain available. Runtime code never reads predecessor files or supplies an empty compatibility projection for an excluded root.	SAFE,MIGRATION
AC	AC-050	PASS	Current runtime/source allowlist contains no `TeamExecutionAddress`, `taskTeamRunIds`, `taskAgentRunId`, `memberRouteKey`, `memberPath`, or `entryExecutionAddress` outside isolated historical migration evidence.	STATIC,MIGRATION
AC	AC-051	PASS	Application V6 packages/manifests/backend definitions accept only the exact run-ID Team identity model; V5 project fixtures and application data are removed/rebuilt with no adapter or migration.	MIGRATION,WEB,BUILDS
AC	AC-052	PASS	An active task Agent at `/qa/tester` renders as a distinct indented `Task: <description prefix>` row beneath the `/qa/tester` placement; selecting it focuses the exact task AgentRun rather than the persistent AgentRun at the same address.	WEB,DESKTOP,MOBILE,LIVE5
AC	AC-053	PASS	An active task AgentTeam at `/qa` renders beneath the `/qa` placement; selecting it expands the exact fresh TeamRun members, nested Team rows expand recursively, and no row silently substitutes persistent-Team AgentRuns or treats the Team as its coordinator Agent.	WEB,DESKTOP,MOBILE,LIVE5
AC	AC-054	PASS	Agent and AgentTeam task rows expose no secondary task ID, AgentRun ID, or TeamRun ID in ordinary navigation; repeated tasks remain distinct internal rows, status and full accessible description remain truthful, and settlement removes only the affected live task subtree with valid focus repair.	WEB,DESKTOP,MOBILE,LIVE5
AC	AC-055	PASS	Root, configured child, task Team, and nested task Team creation each produce exactly one local `MixedTeamManager`; an exact cross-branch message/command/task operation is resolved by the root index and `TeamRunResolver`, then reaches only the selected `TeamRun` and its direct local handle. Initial status collection likewise enters through the root `TeamRun` and recurses through `TeamRun.getLeafAgentStatusSnapshots()` without manager bypass.	CORE,STATIC
AC	AC-056	PASS	Production source contains no `parentBoundary`, manager-owned root recipient resolver/listener set/activation barrier, task-specific active-run directory, composite-chain manager routing, local disposal of root resources, `RootTeamRunState`, precomputed `commitTaskActivation(nextTree,nextTasks)`/`commitTaskTransition(nextTasks)` boundary, destructive `settleDirectTask()`-before-persistence path, two-file settlement snapshot, Team-store use of best-effort `atomicWriteJsonFile()`, or bare stream `revision`; root live updates use a non-persisted monotonic `changeSequence` owned by `TeamRunEventPublisher`, and a sequence gap causes one fresh snapshot.	CORE,STATIC


EVIDENCE_TOKEN	PATH_AND_MEANING			
CORE	repository/server-cumulative-current.log (70 files / 318 passed / 1 existing opt-in skip) and repository/core-cumulative-current.log (33 files / 184 tests); rooted task/message/persistence/identity owners			
WEB	repository/web-cumulative-current.log — 34 files / 257 tests; current live/history/navigation/task-Team/mobile/store consumers			
CODEX	live/provider/codex-direct-turn.json, codex-nested-postwait-snapshot.json, codex-repeated-target-turn.json, and codex-handoff-rules-turn.json — fresh real Team task, nested Team, repeated target, and intrinsic handoff tool			
LIVE5	live/provider fresh AutoByteus/Codex/Claude direct and nested Team rows, three get_handoff_rules rows, exact invalid-address rejection, and all three standalone rows			
CLASSROOM	live/provider/classroom-autobyteus-turn.json and classroom-send-message-address-assertion.json — real imported Classroom LLM calls /student then /professor with exact persisted run endpoints and files			
RESTORE	live/persistence/reopen-persistence-assertion.json, restore-no-duplicate-assertion.json, stale-task-restore-repair-assertion.json, and stale-task-second-restore-idempotence.json			
RESTART_FAIL	live/persistence/stale-task-post-restart.json and failure/api-f007-startup-repair-timing-analysis.md — first post-listen read remains active/unsettled before explicit restore			
MOBILE	live/browser/mobile-classroom-pre-reopen-journey.json and mobile-classroom-post-restore-journey.json — real 390x844 message/reference open/close			
DESKTOP	live/browser/desktop-integrated-pre-reopen.json, desktop-integrated-post-restore.json, and desktop-task-navigation-post-restore.json — current task hierarchy/focus/details without public internal IDs			
PACKAGE	repository current strict package suites plus fresh persisted V1 snapshot/reopen evidence			
MIGRATION	repository/server-cumulative-current.log migration owners, environment/prisma-migrate-deploy.log (21 migrations), and live/persistence/app-data-migration-status.json (16/16 succeeded)			
SAFE	environment/safe-target-preflight.log, server-pid-lsof.log, owned-runtime-cleanup.log, and final-cleanup-verification.log			
STATIC	repository/integrated-static-audit.log — exact HEAD, zero unmerged, zero production/test dirt, retired paths absent, no active disabled selection, CRR-019 deletion-import audit Pass			
BUILDS	repository/server-production-typecheck.log, server-build-full.log, and web-production-build.log			
